Fly_index,Stimulation,Fly_line,Experiment,Slope[mm/s²],Backward distance traveled [mm],Vmin [mm/s]
0,on0,M0MDN3-CWAF22,M0MDN3-CWAF22_200714_092939_s0a0_p6-0,-25.314935006599956,-10.329281052815988,-6.757353438223037
1,on0,M0MDN3-CWAF22,M0MDN3-CWAF32_200724_140800_s0a0_p6-0,-54.134185706365955,-15.485548915351133,-7.219680935201242
2,on0,M0MDN3-CWAF22,M0MDN3-CWAF32_200807_083200_s0a0_p6-0,-2.8734680079873667,-13.576043660830392,-5.6574417687027205
3,on0,M0MDN3-CWAF22,M0MDN3-CWAF32_200820_092201_s0a0_p6-0,-38.925462861256186,-17.140357541727482,-9.168206426874258
4,on0,M0MDN3-CWAF22,M0MDN3-CWAF38_200807_094503_s0a0_p6-0,-51.670524365199974,-6.032546508927811,-10.676410747881489
5,on0,M0MDN3-CWAF22,M0MDN3-CWAF38_200820_103603_s0a0_p6-0,-43.40254076959421,-12.8125099136052,-9.317136970281435
6,on0,M0MDN3-CWAF22,M0MDN3-CWAF38_200724_113826_s0a0_p6-0,-72.96890298030537,-23.315657362661238,-16.822949372605102
7,on0,M0MDN3-CWAF22,M0MDN3-CWAF7_200702_102303_s0a0_p6-0,-9.281840559868415,-6.593479608224314,-4.032379818446122
8,on0,M0MDN3-CWAF22,M0MDN3-CWAF25_200717_110607_s0a0_p6-0,-64.88774107329755,-2.9252117692925803,-8.38301828772328
9,on0,M0MDN3-CWAF22,M0MDN3-CWAF13_200710_111807_s0a0_p6-0,-64.63721036807549,-4.367614197599845,-19.873109182730094
10,on0,M0MDN3-CWAF22,M0MDN3-CWAF13_200806_085301_s0a0_p6-0,-39.991395292676586,-8.120492297514703,-7.161015947112477
11,on0,M0MDN3-CWAF22,M0MDN3-CWAF13_200724_095302_s0a0_p6-0,-31.704703056556287,-3.72590695399645,-7.472665092775037
12,on0,M0MDN3-CWAF22,M0MDN3-CWAF19_200728_090647_s0a0_p6-0,-28.341597951305218,-15.967220887854909,-7.240942970472083
